S. No,District,Total Positive Cases as on 11.01.2021,Total Discharged Cases as on 11.01.2021,Total Active Cases as on 11.01.2021,Total Death Cases as on 11.01.2021
1,Ariyalur,4657,4590,18,49
2,Chengalpattu,50609,49441,418,750
3,Chennai,227975,221820,2107,4048
4,Coimbatore,53200,51848,691,661
5,Cuddalore,24805,24433,89,283
6,Dharmapuri,6506,6387,65,54
7,Dindigul,11071,10786,87,198
8,Erode,13993,13632,215,146
9,Kallakurichi,10837,10704,25,108
10,Kancheepuram,28970,28317,218,435
11,Kanniyakumari,16578,16141,180,257
12,Karur,5291,5163,78,50
13,Krishnagiri,7958,7776,65,117
14,Madurai,20736,20116,165,455
15,Nagapattinam,8287,8053,103,131
16,Namakkal,11390,11138,142,110
17,Nilgiris,8057,7924,86,47
18,Perambalur,2259,2237,1,21
19,Pudukkottai,11472,11264,53,155
20,Ramanathapuram,6359,6194,29,136
21,Ranipet,16013,15744,83,186
22,Salem,32004,31217,323,464
23,Sivaganga,6582,6416,40,126
24,Tenkasi,8325,8123,44,158
25,Thanjavur,17393,17010,140,243
26,Theni,16972,16713,54,205
27,Thoothukudi,16173,15957,75,141
28,Tiruchirappalli,14403,14044,181,178
29,Tirunelveli,15416,15107,97,212
30,Tirupathur,7512,7340,47,125
31,Tiruppur,17408,16941,247,220
32,Tiruvallur,43060,42045,333,682
33,Tiruvannamalai,19254,18896,75,283
34,Tiruvarur,11037,10850,78,109
35,Vellore,20449,19931,175,343
36,Villupuram,15080,14920,50,110
37,Virudhunagar,16459,16145,84,230
38,Airport Surveillance (International),936,928,7,1
39,Airport Surveillance (Domestic),1029,1025,3,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,826943,807744,6971,12228
