S.No,District,Total Positive Cases as on 13.08.2021,Discharged Cases as on 13.08.2021,Active Cases as on 13.08.2021,Death Cases as on 13.08.2021
1,Ariyalur,16072,15612,219,241
2,Chengalpattu,163491,159908,1169,2414
3,Chennai,540739,530289,2098,8352
4,Coimbatore,232351,227781,2358,2212
5,Cuddalore,61364,59744,798,822
6,Dharmapuri,26469,25927,304,238
7,Dindigul,32341,31577,136,628
8,Erode,95900,93513,1745,642
9,Kallakurichi,29603,28958,446,199
10,Kancheepuram,72220,70578,427,1215
11,Kanniyakumari,60504,59151,328,1025
12,Karur,22866,22324,191,351
13,Krishnagiri,41686,41093,267,326
14,Madurai,73769,72390,231,1148
15,Mayiladuthurai,21369,20849,247,273
16,Nagapattinam,19141,18444,401,296
17,Namakkal,47884,46874,550,460
18,Nilgiris,31142,30471,485,186
19,Perambalur,11592,11274,93,225
20,Pudukkottai,28596,27856,365,375
21,Ramanathapuram,20120,19694,75,351
22,Ranipet,42206,41261,200,745
23,Salem,94551,92067,881,1603
24,Sivaganga,19056,18642,215,199
25,Tenkasi,26944,26364,96,484
26,Thanjavur,69189,67255,1067,867
27,Theni,43058,42429,115,514
28,Thoothukudi,55300,54724,178,398
29,Tiruchirappalli,73358,71615,761,982
30,Tirunelveli,48181,47502,249,430
31,Tirupathur,28428,27660,163,605
32,Tiruppur,88937,87148,906,883
33,Tiruvallur,114614,111908,937,1769
34,Tiruvannamalai,52680,51563,476,641
35,Tiruvarur,38406,37579,447,380
36,Vellore,48423,46990,335,1098
37,Villupuram,44249,43582,326,341
38,Virudhunagar,45643,44984,117,542
39,Airport Surveillance (International),1019,1012,6,1
40,Airport Surveillance (Domestic),1080,1076,3,1
41,Railway Surveillance,428,428,0,0
Total,Grand Total,2584969,2530096,20411,34462
